E	N	D	T	Resistivity	S
811581	2195587	0	27.8	0.24004	24675.01929
811581	2195587	2	27.79	0.24004	24680.43431
811581	2195587	4	27.78	0.24004	24685.8517
811581	2195587	6	27.77	0.24004	24691.27147
811581	2195587	8	27.76	0.24004	24696.69362
811581	2195587	10	27.75	0.23146	25745.27026
811581	2195587	12	27.74	0.23146	25750.92636
811581	2195587	14	27.73	0.23146	25756.58493
811581	2195587	16	27.72	0.23146	25762.246
811581	2195587	18	27.71	0.22018	27273.20005
811581	2195587	20	27.7	0.22018	27279.19709
811581	2195587	22	27.69	0.22018	27285.19677
811581	2195587	24	27.68	0.22018	27291.19908
811581	2195587	26	27.67	0.22393	26778.33721
811581	2195587	28	27.66	0.22393	26784.23061
811581	2195587	30	27.65	0.22393	26790.12662
811581	2195587	32	27.64	0.22393	26796.02522
811581	2195587	34	27.63	0.22393	26801.92641
811581	2195587	36	27.62	0.23431	25462.42029
811581	2195587	38	27.61	0.23431	25468.03026
811581	2195587	40	27.6	0.23431	25473.64271
811581	2195587	42	27.59	0.23431	25479.25763
811581	2195587	44	27.58	0.2471	23991.25971
811581	2195587	46	27.57	0.2471	23996.55021
811581	2195587	48	27.56	0.2471	24001.84305
811581	2195587	50	27.55	0.2471	24007.13822
811581	2195587	52	27.54	0.26467	22209.37041
811581	2195587	54	27.53	0.26467	22214.2723
811581	2195587	56	27.52	0.26467	22219.17635
811581	2195587	58	27.51	0.26467	22224.08257
811581	2195587	60	27.5	0.26467	22228.99096
811581	2195587	62	27.49	0.28626	20338.35085
811581	2195587	64	27.48	0.28626	20342.84474
811581	2195587	66	27.47	0.28626	20347.34062
811581	2195587	68	27.46	0.28626	20351.83848
811581	2195587	70	27.45	0.31746	18098.58922
811581	2195587	72	27.44	0.31746	18102.59176
811581	2195587	74	27.43	0.31746	18106.59607
811581	2195587	76	27.42	0.31746	18110.60215
811581	2195587	78	27.41	0.35165	16126.86262
811581	2195587	80	27.4	0.35165	16130.43226
811581	2195587	82	27.39	0.35165	16134.00349
811581	2195587	84	27.38	0.35165	16137.57629
811581	2195587	86	27.37	0.35165	16141.15068
811581	2195587	88	27.36	0.44083	12487.76308
811581	2195587	90	27.35	0.44083	12490.53028
811579	2195586	0	27.8	0.24004	24675.01929
811579	2195586	2	27.79	0.24004	24680.43431
811579	2195586	4	27.78	0.24004	24685.8517
811579	2195586	6	27.77	0.24004	24691.27147
811579	2195586	8	27.76	0.24004	24696.69362
811579	2195586	10	27.75	0.23146	25745.27026
811579	2195586	12	27.74	0.23146	25750.92636
811579	2195586	14	27.73	0.23146	25756.58493
811579	2195586	16	27.72	0.23146	25762.246
811579	2195586	18	27.71	0.22018	27273.20005
811579	2195586	20	27.7	0.22018	27279.19709
811579	2195586	22	27.69	0.22018	27285.19677
811579	2195586	24	27.68	0.22018	27291.19908
811579	2195586	26	27.67	0.22393	26778.33721
811579	2195586	28	27.66	0.22393	26784.23061
811579	2195586	30	27.65	0.22393	26790.12662
811579	2195586	32	27.64	0.22393	26796.02522
811579	2195586	34	27.63	0.22393	26801.92641
811579	2195586	36	27.62	0.23431	25462.42029
811579	2195586	38	27.61	0.23431	25468.03026
811579	2195586	40	27.6	0.23431	25473.64271
811579	2195586	42	27.59	0.23431	25479.25763
811579	2195586	44	27.58	0.2471	23991.25971
811579	2195586	46	27.57	0.2471	23996.55021
811579	2195586	48	27.56	0.2471	24001.84305
811579	2195586	50	27.55	0.2471	24007.13822
811579	2195586	52	27.54	0.26467	22209.37041
811579	2195586	54	27.53	0.26467	22214.2723
811579	2195586	56	27.52	0.26467	22219.17635
811579	2195586	58	27.51	0.26467	22224.08257
811579	2195586	60	27.5	0.26467	22228.99096
811579	2195586	62	27.49	0.28626	20338.35085
811579	2195586	64	27.48	0.28626	20342.84474
811579	2195586	66	27.47	0.28626	20347.34062
811579	2195586	68	27.46	0.28626	20351.83848
811579	2195586	70	27.45	0.31746	18098.58922
811579	2195586	72	27.44	0.31746	18102.59176
811579	2195586	74	27.43	0.31746	18106.59607
811579	2195586	76	27.42	0.31746	18110.60215
811579	2195586	78	27.41	0.35165	16126.86262
811579	2195586	80	27.4	0.35165	16130.43226
811579	2195586	82	27.39	0.35165	16134.00349
811579	2195586	84	27.38	0.35165	16137.57629
811579	2195586	86	27.37	0.35165	16141.15068
811579	2195586	88	27.36	0.44083	12487.76308
